story_id,keyword_id,keyword
9827,810,Varia
10959,8227,demons
18551,364,Pferd
17049,292,Riese
14856,16,sacrilege
19498,3676,Starke Leute
11202,6689,to see leftovers
11529,11531,Death: soul as mouse etc.
14215,14217,Buchweizen
945,440,destruction
4298,443,Towns
17295,17298,drög
17610,407,Totenmesse
18553,18555,Totentanz
19269,290,giants
3272,900,Mountain open
18954,63,Blocksberg
11746,8972,"Hunde, Brot, Bier"
13583,29,witches
11745,580,Hemd
8969,1495,weiblich: Namen
18632,16,sacrilege
1931,52,Räuber
11035,11039,Dargun
14077,14080,Weise
10370,29,witches
14940,2643,Name: varia
15595,6430,Blocksberg Orte
242,251,Hals
3538,4,historical legends
8385,6036,Geselle
15697,1559,Allg.
10530,3326,entrückt
10418,480,Haberlandt
14202,29,witches
9102,233,"Tiersagen, Märchen I"
2754,32,Hexe
10826,16,sacrilege
16784,5229,Friede in der Welt
12509,117,quid
13843,7094,verwandeln
8177,4,historical legends
6852,206,Etymologie
5120,4,historical legends
16695,32,Hexe
18338,836,Raubritter
16676,1227,Untergang: Lit.
1523,72,local legends: varia
15237,1405,Wallenstein
3843,16,sacrilege
11662,290,giants
1760,1227,Untergang: Lit.
13768,332,bells
19950,440,destruction
4361,1107,"Buttern, Melken"
17389,986,"30-/100-year war, blending"
12352,7910,"Storch: große Mauer, Läversee"
18597,4,historical legends
4777,711,Mensch
12645,91,dead
14544,29,witches
7563,93,Toter
13843,6035,Wassermühle
8193,8201,"Höhlen, Berge, Schlösser"
49,52,Räuber
3760,91,dead
3339,20,Man who move the boundaries
1794,1797,doot
7627,7628,Kreuz (sakral)
501,502,non delenda
7940,16,sacrilege
12634,6705,Mönche sehen nach etc.
1311,482,Edelleute
16777,330,Literature
6856,16,sacrilege
2595,72,local legends: varia
13893,6647,tragen Berge zusammen
15174,351,Schatzsage
11693,45,Lokalsage
13950,130,Franzose
2495,16,sacrilege
8514,29,witches
12188,4286,zusammentragen
6227,93,Toter
17177,8,"Sage, historische"
19215,3308,Liebeszauber: Silvester
16010,41,local legends
11442,29,witches
17407,214,"Historic, elderly"
11339,52,Räuber
11502,91,dead
13557,32,Hexe
3718,1659,Schmied
18135,671,Toys
8983,72,local legends: varia
3739,3744,Disch
5941,1359,ertränken
15891,4,historical legends
11413,6430,Blocksberg Orte
3539,19,Scheidengänger
4170,2532,Belagerung
8518,16,sacrilege
3457,3458,Menschenkeule
5849,19,Scheidengänger
9128,4183,schießen
11975,826,weiblich
3749,617,Peitsche
14181,331,Lit.
7680,253,tragen
11446,72,local legends: varia
2758,111,from the french period
18757,93,Toter
18760,1775,not to fear
15700,289,Stein
18372,813,Wand
11054,91,dead
12756,1360,Grab
19589,1528,devil
19226,560,Zwergensage
18892,53,robbers
16227,45,Lokalsage
8864,6313,Fische im Eis angeln
18858,1162,Gälknoeker
1443,900,Mountain open
299,195,Tiersage
1309,8,"Sage, historische"
3494,91,dead
11049,16,sacrilege
6294,560,Zwergensage
5294,233,"Tiersagen, Märchen I"
2572,4,historical legends
127,4,historical legends
6362,117,quid
5336,2350,jagen
13942,4661,Maus
10397,4157,Ochse
6957,354,Berg
19975,29,witches
13179,16,sacrilege
7850,63,Blocksberg
6778,1162,Gälknoeker
12492,140,When
11291,52,Räuber
9722,29,witches
13370,16,sacrilege
11455,10325,Pferd zieht Wolf
26,32,Hexe
1451,1460,Steinsage
13474,1162,Gälknoeker
19586,29,witches
4105,710,An Menschen
16138,45,Lokalsage
8031,5326,Prinz
4094,4,historical legends
1541,29,witches
19291,823,Wilde Jagd
13714,91,dead
10788,16,sacrilege
1733,591,tanzen
18820,415,water
5960,1229,Signal
9718,63,Blocksberg
1697,556,"Taufe, Lattenstiger"
16611,45,Lokalsage
19456,869,Mutter
3843,1882,Halsband
2823,2825,abschießen
1700,1665,Ofen
14995,1775,not to fear
7420,292,Riese
1222,80,werewolf
5743,1162,Gälknoeker
8677,91,dead
14328,8,"Sage, historische"
17786,30,on cattle
229,234,wie Fuchs das Fliegen lernte
3405,556,"Taufe, Lattenstiger"
6516,16,sacrilege
3000,599,Ewig Leben: I
17941,17943,Pfanne
5275,394,haunting animals
8565,560,Zwergensage
9175,4661,Maus
2443,257,Kette
5823,2841,verbrennen
1935,1940,Strohhut
9906,41,local legends
14422,9410,Kettenrasseln
11711,1162,Gälknoeker
177,80,werewolf
16964,245,Keller
2307,91,dead
7558,2364,Schürze platzt
6885,91,dead
19709,848,"Pferd, allg. Abwehr etc."
9703,16,sacrilege
18495,91,dead
458,4,historical legends
3718,32,Hexe
12048,253,tragen
17802,52,Räuber
6606,4,historical legends
17724,32,Hexe
5214,93,Toter
7102,395,treasure
3912,1162,Gälknoeker
12409,45,Lokalsage
13379,4,historical legends
11362,223,Viting
6792,71,Hufeisen
18569,496,"Wiederkehr, Totenhemd"
17705,189,Volksmärchen
1209,45,Lokalsage
5788,80,werewolf
17110,16,sacrilege
7387,91,dead
8305,7012,Mäuse machen etc.
8835,870,"Tote red., erste Frau, Mutter"
3538,8,"Sage, historische"
15529,29,witches
12069,2643,Name: varia
11003,292,Riese
12986,334,Fachliteratur
19755,533,to fight
12948,52,Räuber
9456,955,devil's confederate
